"SDS Dogs .","Dog's Call Name","Dog's Registration Name","Dog's Breed","Registered","A Novice Title","A Nov Containers","A Nov Area Search","A Nov Game","P Novice Title","P Novice Containers","P Novice Area Search","P Novice Game","A Advanced Title","A Adv Containers","A Adv Area Search","A Adv Game","P Advanced Title","P Advance Containers","P Advance Area Search","P Advanced Game","A Excellent Title","A Ex Containers","A Ex Area Search","A Ex Game","P Excellent Title","P Excellent Containers","P Excellent Area Search","P Excellent Game","Masters Title","Handler Number"
128,"Zim","Zim","All-American",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,132
130,"Jezebel","Jeebel","Furry Menace",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,134
131,"Dinky","Peter Dinklage","Chihuahua",1,,,,,,,,,,3/19/2016 0:00:00,,3/19/2016 0:00:00,,,,,,,,,,,,,,134
132,"Ivy","Windkist Defying Gravity MX MXJ OF T2B","Beagle",1,,,,,,,,,,,,,,,,,,,,,,,,,,23
133,"Boomer","Sparky Garcin's Boomer","Border Collie/McNab Border Collie",1,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,13
134,"Starbuck","Ad Astra Starbuck","Australian Shepherd",1,,,,,,,,,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,,,,,,,,,,,,,135
135,"Maggie Mae","Maggie Mae","Border Collie",1,,,,,,,,,,,,,,,,,,,,,,,,,,135
136,"Twist","Hereabout Tangled Up In Blue","Shetland Sheepdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,19
137,"Quincy","Hereabout Basie and Beyond","Shetland Sheepdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,136
138,"Philly","Kimberlite Philly","Jack Russell Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,139
139,"Madison","Ch Rockville's Silver Day On The Mound","Weimaraner",1,,,,,,,,,,,,,,,,,,,,,,,,,,129
140,"Gromit","Mi-Kel's Inventor Rescuer","Belgian Sheepdog",1,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,,,,,,,,,140
141,"Tango","Isengard's Aviator","Belgian Sheepdog",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,140
142,"Hannah","Heavenly Hannah RE CGC","English Springer Spaniel",1,,,5/7/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,141
143,"Jett",,"Belgian Malinois",1,,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,142
144,"Sierra",,"Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,144
145,"Rocky",,"Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,146
146,"Princess",,"Terrier Mix",1,,,,,,,,,,,,,,,,,,,,,,,,,,147
147,"Topaz","Anasha Tozaz","South African Boerboel",1,,,,,,,,,,,,,,,,,,,,,,,,,,147
148,"Jaster","Jasper","Australian Shepherd",1,,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,,148
149,"Paige","Flash Fires Amazing Luv Story","Belgian Tervuren",1,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,149
150,"Ki-enne","Ch Snowflower Makes It Spicy for FlashFire","Belgian Tervuren",1,,,,,,,,,,,,,,,,,,,,,,,,,,149
151,"Vibe","FlashFire's Good Vibrations via Showflower","Belgian Tervuren",1,,,,,,,,,,,,,,,,,,,,,,,,,,149
152,"Zoe","Zoe of the High Sierra","Minature Poodle",1,,,,,,,,,,,,,,,,,,,,,,,,,,143
153,"Remi","Karbits Play My Blue Heaven","Minature Poodle",1,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,143
154,"Beau","Brocair's Beau Babe At High Hills","Lakeland Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,152
155,"Piper","Brocair's Pied Piper At High Hills","Lakeland Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,152
156,"Fixx","Fixxation","Border Collie",1,,,,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,154
157,"Big Mo","DC Avita Moet & Chandon TD, CD MC RA","Whippet",1,,,,,,,,,,,,,,,,,,,,,,,,,,155
158,"Spicy","Vaquero's Hot 'N Spicy","Australian Sheepdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,156
159,"Ruger","Storm du Loups du Soleil","Belgian Malinois",1,,,,,,,,,,,,,,,,,,,,,,,,,,157
160,"Jolie","Jolie","Bichon Frise",1,,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,158
161,"Noel","Ch. Clarion Sweet Noelani","Mini Poodle",1,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,159
162,"George","Ch. Clarion Dark Side Of The Moon","Mini Poodle",1,,,,,,,,,,,,,,,,,,,,,,,,,,159
163,"Tally","Ch. Clarion Tallahassee Dreamin","Mini Poodle",1,,,,,,,,,,,,,,,,,,,,,,,,,,159
164,"Tess","Vivid's Goin Full Tilt","Mini Poodle",1,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,160
165,"Kimber","Ravenshadow's Infinite Justice","Belgian Malinois",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,161
166,"Riley","Riley","Goldendoodle",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,162
167,"Rea","Rea","All-American",1,,,,,,,,,,,,,,,,,,,,,,,,,,163
168,"Tango","Vrijheid's Tango","Dutch Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,164
169,"Diesel","Jenta's Turbo Diesel","Border Collie",1,,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,165
170,"Matt",,"Corgie",1,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,166
171,"Gracie","Gracie","MacNab Mix",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,167
174,"Dreamz","Ch. Foxfire's Moments of Illusion","Doberman",1,,,,,,,,,,,,,,,,,,,,,,,,,,67
175,"Tango","Vrijheid's Tango","Dutch Shepherd",1,,,,,,,,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,,169
176,"Solo","Stonepine Solaris","Australiah Shepherd",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,18
177,"Tule","Sandy Oak's I'll be True to you","Chesapeake Bay Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,170
178,"Rudy","Larcan's Reading with Rudy","Lagatto Romagnolo",1,,,,,,,,,,,,,,,,,,,,,,,,,,171
179,"Batman",,"Jack Russell Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,172
180,"Kona",,"Jack Russell Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,172
182,"Dori","Dorinda vom Sonnenschein","Hovawart",1,,,,,,,,,,,,,,,,,,,,,,,,,,60
183,"Amsie","Amsel vom Koenigs-hof","Hovawart",1,,,,,,,,,,,,,,,,,,,,,,,,,,60
184,"Squink",,"Kelpie",1,,,,,,,,,,,,,,,,,,,,,,,,,,173
185,"Cali","Alamode California Blues","Standard Poodle",1,,,,,,,,,,,,,,,,,,,,,,,,,,174
186,"Macy","Macy Let's Go Shopping","Golden Retreiver",1,,,,,,,,,,,,,,,,,,,,,,,,,,175
187,"Tippet","Cutwater Dreams of White Top Tip Tail","Portuguese Water Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,176
188,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,176
189,"River","Redtop River","Border Collie",1,,,,,,,,,,,,,,,,,,,,,,,,,,177
190,"T","Wingwatcher bridge the territory","Golden Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,177
191,"Lance","Chisterling Sir Lancelot II","Shetland Sheepdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,178
192,"Mia","Q'Mia von Sentinel Harts","German Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,179
193,"Mimi","Saljaxx Little Red Menace Mini","Brittany",1,,,,,,,,,,,,,,,,,,,,,,,,,,180
194,"Sophie","BGs Ozukuri Chrysanthemum","Havanses",1,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Yogi","Yogi","Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,181
